RankXc	ScanNum	ChargeState	MultiProteinID	Reference	
1	10212	1	1	isotig06370
1	10212	1	2	isotig09777
1	10212	1	3	isotig15444
1	10212	1	4	isotig18526
1	10204	1	1	contig04811
1	10204	1	10	isotig01233
1	10204	1	11	isotig03472
1	10204	1	12	isotig03711
1	10204	1	13	isotig03712
1	10204	1	14	isotig04038
1	10204	1	15	isotig04039
1	10204	1	16	isotig04040
1	10204	1	17	isotig04362
1	10204	1	18	isotig04363
1	10204	1	19	isotig04401
1	10204	1	2	isotig00826
1	10204	1	20	isotig05055
1	10204	1	21	isotig05404
1	10204	1	22	isotig05405
1	10204	1	23	isotig05759
1	10204	1	24	isotig05760
1	10204	1	25	isotig06032
1	10204	1	26	isotig06033
1	10204	1	27	isotig06198
1	10204	1	28	isotig06199
1	10204	1	29	isotig07151
1	10204	1	3	isotig00828
1	10204	1	30	isotig07327
1	10204	1	31	isotig07687
1	10204	1	32	isotig08418
1	10204	1	33	isotig08553
1	10204	1	34	isotig09877
1	10204	1	35	isotig11010
1	10204	1	36	isotig11907
1	10204	1	37	isotig13200
1	10204	1	38	isotig13311
1	10204	1	39	isotig13341
1	10204	1	4	isotig00830
1	10204	1	40	isotig13578
1	10204	1	41	isotig13696
1	10204	1	42	isotig14292
1	10204	1	43	isotig16346
1	10204	1	44	isotig16686
1	10204	1	45	isotig16865
1	10204	1	46	isotig17207
1	10204	1	47	isotig17311
1	10204	1	48	isotig17646
1	10204	1	49	isotig18158
1	10204	1	5	isotig00832
1	10204	1	50	isotig18243
1	10204	1	51	isotig18360
1	10204	1	52	isotig18860
1	10204	1	53	isotig19096
1	10204	1	54	isotig19310
1	10204	1	55	isotig19359
1	10204	1	56	isotig19399
1	10204	1	57	isotig19505
1	10204	1	58	isotig19600
1	10204	1	59	isotig19982
1	10204	1	6	isotig00833
1	10204	1	60	isotig19996
1	10204	1	7	isotig00835
1	10204	1	8	isotig01231
1	10204	1	9	isotig01232
1	10096	1	1	contig23616
1	10096	1	10	isotig11838
1	10096	1	11	isotig12830
1	10096	1	12	isotig14275
1	10096	1	13	isotig15601
1	10096	1	14	isotig16301
1	10096	1	15	isotig17122
1	10096	1	16	isotig20412
1	10096	1	2	isotig02648
1	10096	1	3	isotig02650
1	10096	1	4	isotig03241
1	10096	1	5	isotig03242
1	10096	1	6	isotig04869
1	10096	1	7	isotig05641
1	10096	1	8	isotig07293
1	10096	1	9	isotig07321
1	10000	1	1	isotig04151
1	10000	1	2	isotig13241
1	10000	1	3	isotig16856
1	10000	1	4	isotig17469
1	10024	1	1	isotig02123
1	10024	1	2	isotig02124
1	10024	1	3	isotig02125
1	10024	1	4	isotig02126
1	10024	1	5	isotig04080
1	10024	1	6	isotig04081
1	10219	1	1	contig09113
1	10219	1	10	isotig02944
1	10219	1	11	isotig02945
1	10219	1	12	isotig03153
1	10219	1	13	isotig03737
1	10219	1	14	isotig03738
1	10219	1	15	isotig04835
1	10219	1	16	isotig04836
1	10219	1	17	isotig05660
1	10219	1	18	isotig05661
1	10219	1	19	isotig05900
1	10219	1	2	isotig00928
1	10219	1	20	isotig05922
1	10219	1	21	isotig05923
1	10219	1	22	isotig06197
1	10219	1	23	isotig06551
1	10219	1	24	isotig06759
1	10219	1	25	isotig06957
1	10219	1	26	isotig07776
1	10219	1	27	isotig08072
1	10219	1	28	isotig08713
1	10219	1	29	isotig08777
1	10219	1	3	isotig00929
1	10219	1	30	isotig09014
1	10219	1	31	isotig09894
1	10219	1	32	isotig10698
1	10219	1	33	isotig11187
1	10219	1	34	isotig11592
1	10219	1	35	isotig12308
1	10219	1	36	isotig12645
1	10219	1	37	isotig12711
1	10219	1	38	isotig12950
1	10219	1	39	isotig13064
1	10219	1	4	isotig00930
1	10219	1	40	isotig13353
1	10219	1	41	isotig13372
1	10219	1	42	isotig13397
1	10219	1	43	isotig13505
1	10219	1	44	isotig13615
1	10219	1	45	isotig13748
1	10219	1	46	isotig13909
1	10219	1	47	isotig14105
1	10219	1	48	isotig14385
1	10219	1	49	isotig14688
1	10219	1	5	isotig00931
1	10219	1	50	isotig14770
1	10219	1	51	isotig14903
1	10219	1	52	isotig14980
1	10219	1	53	isotig15071
1	10219	1	54	isotig15118
1	10219	1	55	isotig15409
1	10219	1	56	isotig15650
1	10219	1	57	isotig15937
1	10219	1	58	isotig16230
1	10219	1	59	isotig16321
1	10219	1	6	isotig00934
1	10219	1	60	isotig16395
1	10219	1	61	isotig16410
