ScanNumber	ScanTypeName	ScanType
311	CID-MSn	2
312	CID-MSn	2
313	HMS	1
314	CID-MSn	2
315	CID-MSn	2
316	CID-MSn	2
317	HMS	1
318	CID-MSn	2
319	CID-MSn	2
320	CID-MSn	2
321	HMS	1
322	CID-MSn	2
323	CID-MSn	2
324	CID-MSn	2
325	HMS	1
326	CID-MSn	2
327	CID-MSn	2
328	CID-MSn	2
329	HMS	1
330	CID-MSn	2
331	CID-MSn	2
332	CID-MSn	2
333	HMS	1
334	CID-MSn	2
335	CID-MSn	2
336	CID-MSn	2
337	HMS	1
338	CID-MSn	2
339	CID-MSn	2
340	CID-MSn	2
341	HMS	1
342	CID-MSn	2
343	CID-MSn	2
344	CID-MSn	2
345	HMS	1
346	CID-MSn	2
347	CID-MSn	2
348	CID-MSn	2
349	HMS	1
350	CID-MSn	2
351	CID-MSn	2
352	CID-MSn	2
353	HMS	1
354	CID-MSn	2
355	CID-MSn	2
356	CID-MSn	2
357	HMS	1
358	CID-MSn	2
359	CID-MSn	2
360	CID-MSn	2
361	HMS	1
362	CID-MSn	2
363	CID-MSn	2
364	CID-MSn	2
365	HMS	1
366	CID-MSn	2
367	CID-MSn	2
368	CID-MSn	2
369	HMS	1
370	CID-MSn	2
371	CID-MSn	2
372	CID-MSn	2
373	HMS	1
374	CID-MSn	2
375	CID-MSn	2
376	CID-MSn	2
377	HMS	1
378	CID-MSn	2
379	CID-MSn	2
380	CID-MSn	2
381	HMS	1
382	CID-MSn	2
383	CID-MSn	2
384	CID-MSn	2
385	HMS	1
386	CID-MSn	2
387	CID-MSn	2
388	CID-MSn	2
389	HMS	1
390	CID-MSn	2
391	CID-MSn	2
392	CID-MSn	2
393	HMS	1
394	CID-MSn	2
395	CID-MSn	2
396	CID-MSn	2
397	HMS	1
398	CID-MSn	2
399	CID-MSn	2
400	CID-MSn	2
401	HMS	1
402	CID-MSn	2
403	CID-MSn	2
404	CID-MSn	2
405	HMS	1
406	CID-MSn	2
407	CID-MSn	2
408	CID-MSn	2
409	HMS	1
410	CID-MSn	2
411	CID-MSn	2
412	CID-MSn	2
413	HMS	1
414	CID-MSn	2
415	CID-MSn	2
416	CID-MSn	2
417	HMS	1
418	CID-MSn	2
419	CID-MSn	2
420	CID-MSn	2
421	HMS	1
422	CID-MSn	2
423	CID-MSn	2
424	CID-MSn	2
425	HMS	1
