Unique_Seq_ID	Mod_Count	Mod_Description	Monoisotopic_Mass
1	0		17204.72545
2	1	+42.0100:1	21200.92436
3	1	+3210.36:1	6718.218
4	0		14492.17376
5	0		3529.17234
6	0		10312.9927
7	0		36436.52964
8	0		36403.14271
9	0		4387.94429
10	0		18211.52172
11	0		36405.92324
12	1	+42.0100:1	24233.59021
13	0		17823.0889
14	1	-13135.6:9	5710.26445
15	0		36406.30118
16	0		17951.11954
17	0		17934.95994
18	0		24864.45375
19	1	+3210.35:1	5204.36418
20	0		4062.10332
21	1	-43.8800:136	16734.66047
22	0		26975.57042
23	0		17773.77463
24	0		9796.76632
25	0		17378.9941
26	0		22697.31477
27	0		10963.46355
28	0		10312.90897
29	1	+42.0100:1	17162.70375
30	0		4118.23216
31	1	+42.0100:1	14245.09604
32	0		3634.7273
33	0		17378.78183
34	0		24232.71574
35	0		26050.15164
36	1	+42.0100:1	31630.4306
37	0		4529.38776
38	0		37273.07119
39	1	+919.600:1	17406.9182
40	0		17204.83526
41	0		36500.26002
42	1	+52.0300:1	4276.87344
43	0		7399.96879
44	1	+42.0100:1	10270.7329
45	0		24232.01574
46	0		10184.70889
47	1	+21.8900:28	4014.65448
48	0		6523.11865
49	0		10312.84932
50	0		17822.20306
51	0		13996.70169
52	0		17430.82533
53	1	+41.0000:1	16639.96189
54	1	+4.79000:1	9365.04352
55	0		24863.94102
56	1	+56.0800:87	9439.11279
57	0		2794.61818
58	0		17935.07937
59	1	+42.0100:1	17934.62513
60	0		36404.53455
61	1	+11.0800:81	9796.71175
62	1	+42.0100:1	17790.99275
63	1	+42.0100:1	31140.75758
64	1	+42.0100:1	3790.94255
65	1	-26.9300:159	17378.87023
66	0		12837.34185
67	1	-4.13000:21	3125.41461
68	0		17379.00249
69	2	+7.72000:1,-7.74000:26	3790.98062
70	1	-12.0500:46	6160.96537
71	1	-6.51000:23	4099.47372
72	0		7399.88922
73	0		22235.32959
74	0		17876.08585
75	0		17545.91782
76	1	-46.9700:1	17430.96757
77	0		13996.37158
78	1	+25.6500:1	5987.78986
79	1	+11.1400:135	23613.81356
80	1	+42.0100:1	14721.44749
81	0		17221.99932
82	1	-33.0200:1	17823.09284
83	1	+1.45000:67	29782.94975
84	1	+27.9200:55	6955.62965
85	1	+42.0100:1	17774.97071
86	0		3508.76972
87	1	-55.2300:141	16505.39683
88	1	-27.8100:161	17322.95242
89	1	+0.99000:1	17163.08251
90	1	+274.790:1	4029.71067
91	1	-43.1300:1	25969.1561
92	1	-32.4200:1	6118.88504
93	1	+52.8900:74	8483.34954
94	1	-0.23000:1	13737.90415
95	1	+32.1700:1	18957.15701
96	0		17545.98119
97	1	+26.6100:1	2913.05789
98	1	-26.1500:1	2842.14448
99	1	+13.1000:1	17406.96933
100	1	+42.0100:1	36420.92736
101	0		14975.73803
102	0		17934.79435
103	0		10270.71216
104	0		2876.18409
105	0		8519.58498
106	1	+42.0100:1	6416.77533
107	0		6118.94463
108	2	+42.0100:1,+3210.36:2	6760.228
109	1	+42.0100:1	3708.17166
110	2	+42.0100:1,+3341.39:9	6760.21753
111	0		17823.32722
112	0		17935.09215
113	1	+42.0100:1	6019.50645
114	1	+42.0100:1	9447.44066
115	1	-1748.88:2	5577.57581
116	1	+3210.35:1	5076.26922
117	0		5317.46646
118	0		2842.12839
119	1	+3252.37:1	6760.228
120	0		17544.55652
121	0		2876.16642
122	0		3901.7104
123	0		2860.16362
124	0		21005.22763
125	0		3972.67605
126	1	+3252.36:1	5891.72276
127	0		32856.16122
128	2	+42.0100:1,+3341.40:7	6760.22753
129	1	+16.7300:60	7499.33021
130	0		6091.08065
131	1	+28.0400:1	4216.46339
132	0		4360.38665
133	1	+3210.35:1	5849.71276
134	1	+3210.35:2	5076.26922
135	0		16734.62281
136	2	+42.0100:1,-4897.58:52	6415.79245
137	1	-0.45000:166	21200.75359
138	1	+8369.28:1	11348.8538
139	2	+42.0100:1,+3299.38:7	6718.20753
140	1	+3210.35:1	5535.51737
141	2	+42.0100:1,+3168.35:19	10963.37469
142	1	-30489.3:9	13996.34947
143	0		21005.31473
144	2	+42.0100:1,-24071.4:17	10184.76512
145	1	+3252.36:1	5577.52737
146	0		24106.45444
147	0		17222.13295
148	1	+3210.36:1	10963.37469
149	2	+42.0100:1,+3299.39:7	6718.21753
150	0		21004.28288
151	1	+3252.36:1	6760.218
152	0		14491.96577
153	0		17205.20333
154	1	+3210.35:1	6718.208
155	1	+42.0100:1	3864.27276
156	1	+3252.37:1	6231.9438
157	1	-1443.72:56	6231.966
158	1	+3210.36:1	6189.9338
159	0		16815.55998
160	0		4654.53938
161	1	+3252.36:1	5118.27922
162	1	-118181.:26	3864.25995
163	0		17544.91606
164	1	+3210.35:2	5849.71276
165	1	+42.0100:1	24232.13304
166	0		4476.52903
167	0		16767.58764
168	2	+28.0200:9,+14.0200:25	6993.08483
169	0		5535.53886
170	0		17545.9172
171	2	-20610.2:2,+229.250:203	4360.37356
172	1	+42.0100:1	6993.05483
173	0		10947.32731
174	0		4014.66187
175	0		4432.3588
176	0		17275.93529
177	0		16821.69123
178	0		26393.58461
179	2	+42.0100:1,+3210.35:2	5891.72276
180	0		10312.81614
181	0		17948.97063
182	0		24981.84652
183	0		17162.73258
