Date	Type	Message
2017-02-14 09:41:59 PM	Normal	Filtering Concatenated File: 46000 spectra processed (34.0% complete)
2017-02-14 09:42:00 PM	Normal	Filtering Concatenated File: 47000 spectra processed (35.0% complete)
2017-02-14 09:42:00 PM	Normal	Filtering Concatenated File: 48000 spectra processed (36.0% complete)
2017-02-14 09:42:00 PM	Normal	Filtering Concatenated File: 49000 spectra processed (37.0% complete)
2017-02-14 09:42:01 PM	Normal	Filtering Concatenated File: 50000 spectra processed (38.0% complete)
2017-02-14 09:42:01 PM	Normal	Filtering Concatenated File: 51000 spectra processed (38.0% complete)
2017-02-14 09:42:01 PM	Normal	Filtering Concatenated File: 52000 spectra processed (39.0% complete)
2017-02-14 09:42:02 PM	Normal	Filtering Concatenated File: 53000 spectra processed (40.0% complete)
2017-02-14 09:42:02 PM	Normal	Filtering Concatenated File: 54000 spectra processed (41.0% complete)
2017-02-14 09:42:02 PM	Normal	Filtering Concatenated File: 55000 spectra processed (41.0% complete)
2017-02-14 09:42:03 PM	Normal	Filtering Concatenated File: 56000 spectra processed (42.0% complete)
2017-02-14 09:42:03 PM	Normal	Filtering Concatenated File: 57000 spectra processed (43.0% complete)
2017-02-14 09:42:03 PM	Normal	Filtering Concatenated File: 58000 spectra processed (44.0% complete)
2017-02-14 09:42:04 PM	Normal	Filtering Concatenated File: 59000 spectra processed (44.0% complete)
2017-02-14 09:42:04 PM	Normal	Filtering Concatenated File: 60000 spectra processed (45.0% complete)
2017-02-14 09:42:04 PM	Normal	Filtering Concatenated File: 61000 spectra processed (46.0% complete)
2017-02-14 09:42:05 PM	Normal	Filtering Concatenated File: 62000 spectra processed (47.0% complete)
2017-02-14 09:42:05 PM	Normal	Filtering Concatenated File: 63000 spectra processed (47.0% complete)
2017-02-14 09:42:05 PM	Normal	Filtering Concatenated File: 64000 spectra processed (48.0% complete)
2017-02-14 09:42:06 PM	Normal	Filtering Concatenated File: 65000 spectra processed (49.0% complete)
2017-02-14 09:42:06 PM	Normal	Filtering Concatenated File: 66000 spectra processed (50.0% complete)
2017-02-14 09:42:06 PM	Normal	Filtering Concatenated File: 67000 spectra processed (51.0% complete)
2017-02-14 09:42:07 PM	Normal	Filtering Concatenated File: 68000 spectra processed (51.0% complete)
2017-02-14 09:42:07 PM	Normal	Filtering Concatenated File: 69000 spectra processed (52.0% complete)
2017-02-14 09:42:07 PM	Normal	Filtering Concatenated File: 70000 spectra processed (53.0% complete)
2017-02-14 09:42:08 PM	Normal	Filtering Concatenated File: 71000 spectra processed (54.0% complete)
2017-02-14 09:42:08 PM	Normal	Filtering Concatenated File: 72000 spectra processed (54.0% complete)
2017-02-14 09:42:09 PM	Normal	Filtering Concatenated File: 73000 spectra processed (55.0% complete)
2017-02-14 09:42:09 PM	Normal	Filtering Concatenated File: 74000 spectra processed (56.0% complete)
2017-02-14 09:42:09 PM	Normal	Filtering Concatenated File: 75000 spectra processed (57.0% complete)
2017-02-14 09:42:10 PM	Normal	Filtering Concatenated File: 76000 spectra processed (57.0% complete)
2017-02-14 09:42:10 PM	Normal	Filtering Concatenated File: 77000 spectra processed (58.0% complete)
2017-02-14 09:42:10 PM	Normal	Filtering Concatenated File: 78000 spectra processed (59.0% complete)
2017-02-14 09:42:11 PM	Normal	Filtering Concatenated File: 79000 spectra processed (60.0% complete)
2017-02-14 09:42:11 PM	Normal	Filtering Concatenated File: 80000 spectra processed (60.0% complete)
2017-02-14 09:42:11 PM	Normal	Filtering Concatenated File: 81000 spectra processed (61.0% complete)
2017-02-14 09:42:12 PM	Normal	Filtering Concatenated File: 82000 spectra processed (62.0% complete)
2017-02-14 09:42:12 PM	Normal	Filtering Concatenated File: 83000 spectra processed (63.0% complete)
2017-02-14 09:42:13 PM	Normal	Filtering Concatenated File: 84000 spectra processed (63.0% complete)
2017-02-14 09:42:14 PM	Normal	Filtering Concatenated File: 85000 spectra processed (64.0% complete)
2017-02-14 09:42:14 PM	Normal	Filtering Concatenated File: 86000 spectra processed (65.0% complete)
2017-02-14 09:42:14 PM	Normal	Filtering Concatenated File: 87000 spectra processed (66.0% complete)
2017-02-14 09:42:15 PM	Normal	Filtering Concatenated File: 88000 spectra processed (66.0% complete)
2017-02-14 09:42:15 PM	Normal	Filtering Concatenated File: 89000 spectra processed (67.0% complete)
2017-02-14 09:42:15 PM	Normal	Filtering Concatenated File: 90000 spectra processed (68.0% complete)
2017-02-14 09:42:16 PM	Normal	Filtering Concatenated File: 91000 spectra processed (68.0% complete)
2017-02-14 09:42:16 PM	Normal	Filtering Concatenated File: 92000 spectra processed (69.0% complete)
2017-02-14 09:42:16 PM	Normal	Filtering Concatenated File: 93000 spectra processed (70.0% complete)
2017-02-14 09:42:17 PM	Normal	Filtering Concatenated File: 94000 spectra processed (71.0% complete)
2017-02-14 09:42:17 PM	Normal	Filtering Concatenated File: 95000 spectra processed (71.0% complete)
2017-02-14 09:42:17 PM	Normal	Filtering Concatenated File: 96000 spectra processed (72.0% complete)
2017-02-14 09:42:18 PM	Normal	Filtering Concatenated File: 97000 spectra processed (73.0% complete)
2017-02-14 09:42:18 PM	Normal	Filtering Concatenated File: 98000 spectra processed (74.0% complete)
2017-02-14 09:42:18 PM	Normal	Filtering Concatenated File: 99000 spectra processed (74.0% complete)
2017-02-14 09:42:19 PM	Normal	Filtering Concatenated File: 100000 spectra processed (75.0% complete)
2017-02-14 09:42:19 PM	Normal	Filtering Concatenated File: 101000 spectra processed (76.0% complete)
2017-02-14 09:42:19 PM	Normal	Filtering Concatenated File: 102000 spectra processed (77.0% complete)
2017-02-14 09:42:20 PM	Normal	Filtering Concatenated File: 103000 spectra processed (77.0% complete)
2017-02-14 09:42:20 PM	Normal	Filtering Concatenated File: 104000 spectra processed (78.0% complete)
2017-02-14 09:42:20 PM	Normal	Filtering Concatenated File: 105000 spectra processed (79.0% complete)
2017-02-14 09:42:21 PM	Normal	Filtering Concatenated File: 106000 spectra processed (79.0% complete)
2017-02-14 09:42:21 PM	Normal	Filtering Concatenated File: 107000 spectra processed (80.0% complete)
2017-02-14 09:42:21 PM	Normal	Filtering Concatenated File: 108000 spectra processed (81.0% complete)
2017-02-14 09:42:22 PM	Normal	Filtering Concatenated File: 109000 spectra processed (82.0% complete)
2017-02-14 09:42:22 PM	Normal	Filtering Concatenated File: 110000 spectra processed (82.0% complete)
2017-02-14 09:42:22 PM	Normal	Filtering Concatenated File: 111000 spectra processed (83.0% complete)
2017-02-14 09:42:23 PM	Normal	Filtering Concatenated File: 112000 spectra processed (84.0% complete)
2017-02-14 09:42:23 PM	Normal	Filtering Concatenated File: 113000 spectra processed (85.0% complete)
2017-02-14 09:42:23 PM	Normal	Filtering Concatenated File: 114000 spectra processed (85.0% complete)
2017-02-14 09:42:24 PM	Normal	Filtering Concatenated File: 115000 spectra processed (86.0% complete)
