Dataset	ScanNumber	AGC	Micro Scan Count	Ion Injection Time (ms)	Scan Event	Master Index	Elapsed Scan Time (sec)	Charge State	Monoisotopic M/Z	MS2 Isolation Width	FT Analyzer Settings	FT Analyzer Message	FT Resolution	Conversion Parameter B	Conversion Parameter C	Collision Mode	Scan Filter Text	Source Voltage (kV)	Source Current (uA)
534700	22	On	1	55.638	1	0	0.40	1	371.1055	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.06
534700	23	On	1	48.356	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.06
534700	24	On	1	63.564	1	0	0.41	1	371.1058	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.07
534700	25	On	1	53.823	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.07
534700	26	On	1	55.975	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.07
534700	27	On	1	48.714	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.07
534700	28	On	1	56.523	1	0	0.40	1	371.1058	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.07
534700	29	Predicted	4	100.000	2	1	0.79	6	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 323.19@cid35.00 [75.00-1950.00]	2.50	1.10
534700	30	On	1	55.042	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.10
534700	31	Predicted	4	100.000	2	1	0.79	6	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 313.31@cid35.00 [75.00-1890.00]	2.50	1.10
534700	32	On	1	47.153	1	0	0.39	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.09
534700	33	Predicted	4	100.000	2	1	0.64	2	343.9328	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 343.93@cid35.00 [80.00-700.00]	2.50	1.09
534700	34	On	1	57.921	1	0	0.40	1	371.1054	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.09
534700	35	On	1	53.476	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.09
534700	36	On	1	56.558	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.03
534700	37	On	1	55.869	1	0	0.40	1	371.1059	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.03
534700	38	On	1	54.053	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.03
534700	39	On	1	52.375	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.03
534700	40	On	1	57.494	1	0	0.40	1	371.1058	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.03
534700	41	On	1	53.963	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.06
534700	42	On	1	58.103	1	0	0.41	1	371.1058	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.06
534700	43	On	1	56.791	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.06
534700	44	On	1	55.294	1	0	0.40	1	371.1058	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.06
534700	45	On	1	58.119	1	0	0.41	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.06
534700	46	On	1	56.945	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.07
534700	47	On	1	59.049	1	0	0.41	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.07
534700	48	On	1	48.783	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.07
534700	49	Predicted	4	100.000	2	1	0.65	2	379.2866	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 379.29@cid35.00 [90.00-770.00]	2.49	1.07
534700	50	On	1	59.298	1	0	0.41	1	371.1055	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.07
534700	51	On	1	54.363	1	0	0.40	1	371.1055	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.10
534700	52	On	1	46.847	1	0	0.39	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.10
534700	53	On	1	60.446	1	0	0.41	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.10
534700	54	On	1	55.044	1	0	0.40	1	371.1058	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.10
534700	55	On	1	59.658	1	0	0.41	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.10
534700	56	On	1	53.943	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.09
534700	57	On	1	54.154	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.09
534700	58	On	1	53.688	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.09
534700	59	Predicted	4	100.000	2	1	0.64	2	339.9640	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 339.96@cid35.00 [80.00-690.00]	2.50	1.09
534700	60	On	1	54.960	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.05
534700	61	On	1	52.615	1	0	0.40	1	371.1058	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.05
534700	62	On	1	55.568	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.05
534700	63	On	1	55.476	1	0	0.40	1	371.1059	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.05
534700	64	On	1	52.951	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.05
534700	65	On	1	51.643	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.08
534700	66	On	1	56.323	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.08
534700	67	On	1	48.769	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.08
534700	68	On	1	58.853	1	0	0.41	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.08
534700	69	On	1	53.443	1	0	0.40	1	371.1058	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.08
534700	70	On	1	57.722	1	0	0.41	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.12
534700	71	Predicted	4	100.000	2	1	0.67	3	307.8591	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 307.86@cid35.00 [70.00-935.00]	2.50	1.12
534700	72	On	1	52.289	1	0	0.40	1	371.1055	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.12
534700	73	On	1	55.362	1	0	0.40	1	371.1055	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.12
534700	74	On	1	51.292	1	0	0.40	1	371.1055	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.13
534700	75	On	1	55.687	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.13
534700	76	On	1	53.570	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.13
534700	77	Predicted	4	100.000	2	1	0.65	2	388.7119	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 388.71@cid35.00 [95.00-790.00]	2.49	1.13
534700	78	On	1	55.882	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.13
534700	79	On	1	55.113	1	0	0.40	1	371.1055	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.13
534700	80	On	1	58.985	1	0	0.41	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.13
534700	81	On	1	54.252	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.13
534700	82	On	1	47.535	1	0	0.39	1	371.1055	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.13
534700	83	On	1	56.644	1	0	0.40	1	371.1058	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.09
534700	84	On	1	53.557	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.09
534700	85	On	1	54.709	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.09
534700	86	On	1	56.129	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.09
534700	87	On	1	56.234	1	0	0.40	1	371.1059	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.09
534700	88	On	1	52.829	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.10
534700	89	On	1	53.180	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.10
534700	90	Predicted	4	100.000	2	1	0.73	3	490.1841	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 490.18@cid35.00 [120.00-1485.00]	2.50	1.10
534700	91	On	1	52.981	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.10
534700	92	On	1	54.900	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.11
534700	93	On	1	60.221	1	0	0.41	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.11
534700	94	On	1	58.371	1	0	0.41	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.11
534700	95	On	1	50.745	1	0	0.40	1	371.1055	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.11
534700	96	Predicted	4	100.000	2	1	0.68	2	531.8446	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 531.84@cid35.00 [135.00-1075.00]	2.50	1.11
534700	97	On	1	59.292	1	0	0.41	1	371.1054	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.11
534700	98	On	1	58.740	1	0	0.41	1	371.1058	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.11
534700	99	On	1	53.467	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.11
534700	100	Predicted	4	100.000	2	1	0.68	2	546.8629	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 546.86@cid35.00 [140.00-1105.00]	2.50	1.11
534700	101	On	1	57.832	1	0	0.41	1	371.1054	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.11
534700	102	On	1	56.740	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.11
534700	103	On	1	52.282	1	0	0.40	1	371.1055	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.11
534700	104	On	1	54.870	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.11
534700	105	On	1	55.642	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.11
534700	106	On	1	53.607	1	0	0.40	1	371.1058	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.13
534700	107	On	1	55.125	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.13
534700	108	On	1	59.842	1	0	0.41	1	371.1058	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.13
534700	109	On	1	49.834	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.13
534700	110	On	1	57.517	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.13
534700	111	On	1	50.189	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.10
534700	112	On	1	49.880	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.10
534700	113	On	1	53.325	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.10
534700	114	On	1	52.880	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.10
534700	115	Predicted	4	100.000	2	1	0.68	2	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 538.17@cid35.00 [135.00-1090.00]	2.50	1.10
534700	116	On	1	50.901	1	0	0.40	1	371.1058	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.13
534700	117	On	1	47.595	1	0	0.39	1	371.1059	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.13
534700	118	Predicted	4	100.000	2	1	0.66	2	421.8285	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 421.83@cid35.00 [105.00-855.00]	2.49	1.13
534700	119	On	1	53.869	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.13
534700	120	On	1	49.764	1	0	0.41	1	371.1059	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.14
534700	121	On	1	49.718	1	0	0.40	1	371.1058	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.14
534700	122	On	1	55.261	1	0	0.40	1	371.1058	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.14
534700	123	On	1	45.545	1	0	0.39	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.14
534700	124	On	1	45.948	1	0	0.39	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.14
534700	125	On	1	44.544	1	0	0.39	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.19
534700	126	On	1	48.541	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.19
534700	127	Predicted	4	100.000	2	1	0.79	6	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 313.31@cid35.00 [75.00-1890.00]	2.50	1.19
534700	128	On	1	41.489	1	0	0.39	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.19
534700	129	Predicted	4	100.000	2	1	0.71	2	650.8251	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 650.83@cid35.00 [165.00-1315.00]	2.49	1.16
534700	130	On	1	51.177	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.16
534700	131	On	1	49.646	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.16
534700	132	On	1	46.309	1	0	0.39	1	371.1058	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.16
534700	133	Predicted	4	100.000	2	1	0.77	3	610.1926	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 610.19@cid35.00 [155.00-1845.00]	2.50	1.20
534700	134	Predicted	4	100.000	3	1	0.72	2	730.8702	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 730.87@cid35.00 [190.00-1475.00]	2.50	1.20
534700	135	On	1	45.828	1	0	0.39	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.20
534700	136	On	1	44.829	1	0	0.39	1	371.1058	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.19
534700	137	On	1	41.881	1	0	0.39	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.19
