Dataset	ScanNumber	AGC	Micro Scan Count	Ion Injection Time (ms)	Scan Event	Master Index	Elapsed Scan Time (sec)	Charge State	Monoisotopic M/Z	MS2 Isolation Width	FT Analyzer Settings	FT Analyzer Message	FT Resolution	Conversion Parameter B	Conversion Parameter C	Collision Mode	Scan Filter Text	Source Voltage (kV)	Source Current (uA)
534700	1	On	1	74.988	1	0	0.42	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.08
534700	2	Predicted	4	100.000	2	1	0.67	3	307.8594	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 307.86@cid35.00 [70.00-935.00]	2.50	1.08
534700	3	Predicted	4	100.000	3	1	0.68	2	522.7971	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 522.80@cid35.00 [130.00-1060.00]	2.50	1.08
534700	4	Predicted	4	100.000	4	1	0.74	3	528.5958	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 528.60@cid35.00 [135.00-1600.00]	2.50	1.08
534700	5	On	1	46.268	1	0	0.39	1	371.1059	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.08
534700	6	On	1	47.770	1	0	0.39	1	371.1059	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.10
534700	7	On	1	58.320	1	0	0.41	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.10
534700	8	Predicted	4	100.000	2	1	0.65	2	388.7124	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 388.71@cid35.00 [95.00-790.00]	2.50	1.10
534700	9	On	1	41.969	1	0	0.39	1	371.1058	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.10
534700	10	On	1	57.558	1	0	0.40	1	371.1058	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.05
534700	11	On	1	52.335	1	0	0.40	1	371.1055	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.05
534700	12	On	1	54.340	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.05
534700	13	On	1	55.131	1	0	0.40	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.05
534700	14	On	1	61.110	1	0	0.41	1	371.1056	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.50	1.05
534700	15	On	1	58.544	1	0	0.41	1	371.1059	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.08
534700	16	On	1	49.710	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.08
534700	17	On	1	53.502	1	0	0.40	1	371.1058	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.08
534700	18	On	1	54.613	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.08
534700	19	On	1	57.155	1	0	0.40	1	371.1058	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.08
534700	20	Predicted	4	100.000	2	1	0.71	2	684.2130	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 684.21@cid35.00 [175.00-1380.00]	2.49	1.06
534700	21	On	1	53.644	1	0	0.40	1	371.1057	0	T=1e6 iWf	MCal=15d RF=2300V	60000	148288623.372	-124350090.551		FTMS + p NSI Full ms [300.00-1800.00]	2.49	1.06
