ScanNumber	ScanTime	ScanType	ScanTypeName	PrecursorMz	ScanFilterText
2784	26.6792	2	CID-MSn	307.52	ITMS + c NSI d Full ms2 307.52@cid35.00 [70.00-935.00]
2785	26.6909	2	CID-MSn	569.83	ITMS + c NSI d Full ms2 569.83@cid35.00 [145.00-1150.00]
2786	26.703	2	CID-MSn	618.87	ITMS + c NSI d Full ms2 618.87@cid35.00 [160.00-1250.00]
2787	26.7153	2	CID-MSn	335.51	ITMS + c NSI d Full ms2 335.51@cid35.00 [80.00-1020.00]
2788	26.7273	2	CID-MSn	314.68	ITMS + c NSI d Full ms2 314.68@cid35.00 [75.00-640.00]
2789	26.7385	2	CID-MSn	333.21	ITMS + c NSI d Full ms2 333.21@cid35.00 [80.00-1010.00]
2791	26.7548	2	CID-MSn	379.72	ITMS + c NSI d Full ms2 379.72@cid35.00 [90.00-770.00]
2792	26.7604	2	CID-MSn	430.88	ITMS + c NSI d Full ms2 430.88@cid35.00 [105.00-1305.00]
2793	26.7669	2	CID-MSn	550.82	ITMS + c NSI d Full ms2 550.82@cid35.00 [140.00-1115.00]
2794	26.7735	2	CID-MSn	389.88	ITMS + c NSI d Full ms2 389.88@cid35.00 [95.00-1180.00]
2795	26.7835	2	CID-MSn	365.26	ITMS + c NSI d Full ms2 365.26@cid35.00 [90.00-745.00]
2796	26.7947	2	CID-MSn	313.95	ITMS + c NSI d Full ms2 313.95@cid35.00 [75.00-1270.00]
2797	26.8071	2	CID-MSn	516.79	ITMS + c NSI d Full ms2 516.79@cid35.00 [130.00-1045.00]
2798	26.819	2	CID-MSn	497.8	ITMS + c NSI d Full ms2 497.80@cid35.00 [125.00-1010.00]
2799	26.8308	2	CID-MSn	401.56	ITMS + c NSI d Full ms2 401.56@cid35.00 [100.00-1215.00]
2800	26.8431	2	CID-MSn	537.33	ITMS + c NSI d Full ms2 537.33@cid35.00 [135.00-1085.00]
2802	26.8619	2	CID-MSn	323.68	ITMS + c NSI d Full ms2 323.68@cid35.00 [75.00-1305.00]
2803	26.8707	2	CID-MSn	349.16	ITMS + c NSI d Full ms2 349.16@cid35.00 [85.00-1060.00]
2804	26.8827	2	CID-MSn	450.77	ITMS + c NSI d Full ms2 450.77@cid35.00 [110.00-915.00]
